time,relativeAltitude,pressure
2023-08-04 17:51:05-04:00,-5.8810688018798825,1008.4920715332032
2023-08-04 17:51:06-04:00,-5.840430603027344,1008.4872131347656
2023-08-04 17:51:07-04:00,-5.859454803466797,1008.4894519042969
2023-08-04 17:51:08-04:00,-5.811312866210938,1008.4836938476562
2023-08-04 17:51:09-04:00,-5.834511871337891,1008.4864782714844
2023-08-04 17:51:10-04:00,-5.86917854309082,1008.4906420898436
2023-08-04 17:51:11-04:00,-5.878796310424804,1008.491787109375
2023-08-04 17:51:12-04:00,-5.888255767822265,1008.4929223632812
2023-08-04 17:51:13-04:00,-5.847247543334961,1008.488035888672
2023-08-04 17:51:14-04:00,-5.825475540161133,1008.485401611328
2023-08-04 17:51:15-04:00,-5.857499618530273,1008.4892529296876
2023-08-04 17:51:16-04:00,-5.865901794433594,1008.4902600097656
2023-08-04 17:51:17-04:00,-5.880963058471679,1008.492060546875
2023-08-04 17:51:18-04:00,-5.892007751464844,1008.4933740234376
2023-08-04 17:51:19-04:00,-5.88439796447754,1008.4924731445312
2023-08-04 17:51:20-04:00,-5.900674514770508,1008.4943981933594
2023-08-04 17:51:21-04:00,-5.8349872589111325,1008.4865588378906
2023-08-04 17:51:22-04:00,-5.8149059295654295,1008.484130859375
2023-08-04 17:51:23-04:00,-5.752918472290039,1008.4767065429688
2023-08-04 17:51:24-04:00,-5.549463424682617,1008.4523583984376
2023-08-04 17:51:25-04:00,-5.545870208740235,1008.4519384765624
2023-08-04 17:51:26-04:00,-5.513898468017578,1008.4481433105468
2023-08-04 17:51:27-04:00,-5.739654235839844,1008.4751391601562
2023-08-04 17:51:28-04:00,-5.863418350219726,1008.4899536132812
2023-08-04 17:51:29-04:00,-5.910450592041015,1008.4955627441408
2023-08-04 17:51:30-04:00,-5.855702896118164,1008.4890270996094
2023-08-04 17:51:31-04:00,-5.748162536621094,1008.476142578125
2023-08-04 17:51:32-04:00,-5.627357788085938,1008.4616967773436
2023-08-04 17:51:33-04:00,-5.363553009033203,1008.4301379394532
2023-08-04 17:51:34-04:00,-5.330682907104492,1008.4261706542968
2023-08-04 17:51:35-04:00,-5.032951736450196,1008.3905834960938
